baseline,batch_size,graph,algorithm,measurement_idx,insert_time,algorithm_time
run_std_set,10,com-friendster,LabelPropagation,0,2.2e-05,6.829425
run_std_set,10,com-friendster,LabelPropagation,1,2.9e-05,6.752348
run_std_set,10,com-friendster,LabelPropagation,2,3.1e-05,6.824871
run_std_set,10,com-friendster,LabelPropagation,3,2.9e-05,6.846498
run_std_set,10,com-friendster,LabelPropagation,4,3.1e-05,6.792138
run_std_set,10,com-friendster,LabelPropagation,5,2.9e-05,6.743929
run_std_set,10,com-friendster,LabelPropagation,6,2.7e-05,6.716499
run_std_set,10,com-friendster,LabelPropagation,7,2.9e-05,6.798393
run_std_set,10,com-friendster,LabelPropagation,8,2.9e-05,6.695105
run_std_set,10,com-friendster,LabelPropagation,9,2.7e-05,6.718541
run_std_set,10,com-friendster,PageRank,0,2.2e-05,37.577466
run_std_set,10,com-friendster,PageRank,1,3.8e-05,42.452855
run_std_set,10,com-friendster,PageRank,2,3.6e-05,45.693276
run_std_set,10,com-friendster,PageRank,3,3.6e-05,39.419789
run_std_set,10,com-friendster,PageRank,4,3.6e-05,44.975966
run_std_set,10,com-friendster,PageRank,5,3.7e-05,43.194952
run_std_set,10,com-friendster,PageRank,6,3.5e-05,47.392722
run_std_set,10,com-friendster,PageRank,7,4e-05,55.445164
run_std_set,10,com-friendster,PageRank,8,4.2e-05,54.219895
run_std_set,10,com-friendster,PageRank,9,4.3e-05,53.262969
run_std_set,10,com-friendster,wBFS_unweighted,0,2.3e-05,56.938537
run_std_set,10,com-friendster,wBFS_unweighted,1,3.1e-05,56.926017
run_std_set,10,com-friendster,wBFS_unweighted,2,2.9e-05,56.895972
run_std_set,10,com-friendster,wBFS_unweighted,3,3e-05,56.805378
run_std_set,10,com-friendster,wBFS_unweighted,4,2.9e-05,56.941863
run_std_set,10,com-friendster,wBFS_unweighted,5,2.9e-05,56.907283
run_std_set,10,com-friendster,wBFS_unweighted,6,2.9e-05,56.900139
run_std_set,10,com-friendster,wBFS_unweighted,7,3e-05,56.814332
run_std_set,10,com-friendster,wBFS_unweighted,8,3e-05,56.970819
run_std_set,10,com-friendster,wBFS_unweighted,9,3.1e-05,56.772852
run_std_set,10,com-orkut.ungraph,BFS,0,7.6e-05,0.030418
run_std_set,10,com-orkut.ungraph,BFS,1,2.5e-05,0.012667
run_std_set,10,com-orkut.ungraph,BFS,2,2.3e-05,0.012673
run_std_set,10,com-orkut.ungraph,BFS,3,2.4e-05,0.012452
run_std_set,10,com-orkut.ungraph,BFS,4,2.7e-05,0.012603
run_std_set,10,com-orkut.ungraph,BFS,5,2.4e-05,0.012802
run_std_set,10,com-orkut.ungraph,BFS,6,2.5e-05,0.012741
run_std_set,10,com-orkut.ungraph,BFS,7,2.8e-05,0.012641
run_std_set,10,com-orkut.ungraph,BFS,8,2.5e-05,0.012602
run_std_set,10,com-orkut.ungraph,BFS,9,2.5e-05,0.012626
run_std_set,10,com-orkut.ungraph,LabelPropagation,0,1.9e-05,0.154849
run_std_set,10,com-orkut.ungraph,LabelPropagation,1,3.3e-05,0.148441
run_std_set,10,com-orkut.ungraph,LabelPropagation,2,3.3e-05,0.147111
run_std_set,10,com-orkut.ungraph,LabelPropagation,3,2.9e-05,0.149974
run_std_set,10,com-orkut.ungraph,LabelPropagation,4,3e-05,0.148299
run_std_set,10,com-orkut.ungraph,LabelPropagation,5,3e-05,0.149975
run_std_set,10,com-orkut.ungraph,LabelPropagation,6,3e-05,0.151214
run_std_set,10,com-orkut.ungraph,LabelPropagation,7,3.1e-05,0.148658
run_std_set,10,com-orkut.ungraph,LabelPropagation,8,3.1e-05,0.149564
run_std_set,10,com-orkut.ungraph,LabelPropagation,9,2.8e-05,0.149546
run_std_set,10,com-orkut.ungraph,PageRank,0,2.1e-05,1.833862
run_std_set,10,com-orkut.ungraph,PageRank,1,4.7e-05,1.724008
run_std_set,10,com-orkut.ungraph,PageRank,2,3.6e-05,1.641984
run_std_set,10,com-orkut.ungraph,PageRank,3,3.4e-05,1.634461
run_std_set,10,com-orkut.ungraph,PageRank,4,3.6e-05,1.615519
run_std_set,10,com-orkut.ungraph,PageRank,5,4e-05,1.671292
run_std_set,10,com-orkut.ungraph,PageRank,6,3.6e-05,1.665787
run_std_set,10,com-orkut.ungraph,PageRank,7,9.2e-05,1.635898
run_std_set,10,com-orkut.ungraph,PageRank,8,4.9e-05,1.672288
run_std_set,10,com-orkut.ungraph,PageRank,9,4e-05,1.666818
run_std_set,10,com-orkut.ungraph,wBFS_unweighted,0,1.7e-05,3.886747
run_std_set,10,com-orkut.ungraph,wBFS_unweighted,1,2.9e-05,3.8606
run_std_set,10,com-orkut.ungraph,wBFS_unweighted,2,2.8e-05,3.846883
run_std_set,10,com-orkut.ungraph,wBFS_unweighted,3,2.8e-05,3.872546
run_std_set,10,com-orkut.ungraph,wBFS_unweighted,4,2.9e-05,3.868439
run_std_set,10,com-orkut.ungraph,wBFS_unweighted,5,2.8e-05,3.861214
run_std_set,10,com-orkut.ungraph,wBFS_unweighted,6,3.1e-05,3.841094
run_std_set,10,com-orkut.ungraph,wBFS_unweighted,7,2.9e-05,3.850034
run_std_set,10,com-orkut.ungraph,wBFS_unweighted,8,2.8e-05,3.852364
run_std_set,10,com-orkut.ungraph,wBFS_unweighted,9,3.1e-05,3.854895
run_std_set,10,soc-LiveJournal1,BFS,0,2.3e-05,0.035739
run_std_set,10,soc-LiveJournal1,BFS,1,2.4e-05,0.030183
run_std_set,10,soc-LiveJournal1,BFS,2,2.5e-05,0.030815
run_std_set,10,soc-LiveJournal1,BFS,3,2.2e-05,0.03085
run_std_set,10,soc-LiveJournal1,BFS,4,2.6e-05,0.030145
run_std_set,10,soc-LiveJournal1,BFS,5,2.5e-05,0.030383
run_std_set,10,soc-LiveJournal1,BFS,6,2.5e-05,0.030519
run_std_set,10,soc-LiveJournal1,BFS,7,2.6e-05,0.031805
run_std_set,10,soc-LiveJournal1,BFS,8,2.3e-05,0.029973
run_std_set,10,soc-LiveJournal1,BFS,9,2.5e-05,0.030329
run_std_set,10,soc-LiveJournal1,LabelPropagation,0,2.3e-05,0.065386
run_std_set,10,soc-LiveJournal1,LabelPropagation,1,2.8e-05,0.061867
run_std_set,10,soc-LiveJournal1,LabelPropagation,2,2.6e-05,0.063642
run_std_set,10,soc-LiveJournal1,LabelPropagation,3,3.2e-05,0.062683
run_std_set,10,soc-LiveJournal1,LabelPropagation,4,2.8e-05,0.063056
run_std_set,10,soc-LiveJournal1,LabelPropagation,5,2.8e-05,0.062937
run_std_set,10,soc-LiveJournal1,LabelPropagation,6,2.8e-05,0.063176
run_std_set,10,soc-LiveJournal1,LabelPropagation,7,2.3e-05,0.063248
run_std_set,10,soc-LiveJournal1,LabelPropagation,8,2.7e-05,0.062721
run_std_set,10,soc-LiveJournal1,LabelPropagation,9,2.5e-05,0.062796
run_std_set,10,soc-LiveJournal1,PageRank,0,1.9e-05,0.872732
run_std_set,10,soc-LiveJournal1,PageRank,1,3.7e-05,0.848652
run_std_set,10,soc-LiveJournal1,PageRank,2,3.4e-05,0.827217
run_std_set,10,soc-LiveJournal1,PageRank,3,3.6e-05,0.812902
run_std_set,10,soc-LiveJournal1,PageRank,4,4.6e-05,0.791758
run_std_set,10,soc-LiveJournal1,PageRank,5,4.1e-05,0.777483
run_std_set,10,soc-LiveJournal1,PageRank,6,8.9e-05,0.740478
run_std_set,10,soc-LiveJournal1,PageRank,7,4.1e-05,0.705555
run_std_set,10,soc-LiveJournal1,PageRank,8,4.2e-05,0.649451
run_std_set,10,soc-LiveJournal1,PageRank,9,4.7e-05,0.645372
run_std_set,10,soc-LiveJournal1,wBFS_unweighted,0,2.2e-05,5.094403
run_std_set,10,soc-LiveJournal1,wBFS_unweighted,1,2.9e-05,5.078044
run_std_set,10,soc-LiveJournal1,wBFS_unweighted,2,2.6e-05,5.076323
run_std_set,10,soc-LiveJournal1,wBFS_unweighted,3,2.8e-05,5.03954
run_std_set,10,soc-LiveJournal1,wBFS_unweighted,4,2.7e-05,5.035939
run_std_set,10,soc-LiveJournal1,wBFS_unweighted,5,2.7e-05,5.033849
run_std_set,10,soc-LiveJournal1,wBFS_unweighted,6,2.7e-05,5.020759
run_std_set,10,soc-LiveJournal1,wBFS_unweighted,7,2.9e-05,5.034915
run_std_set,10,soc-LiveJournal1,wBFS_unweighted,8,2.7e-05,5.096644
run_std_set,10,soc-LiveJournal1,wBFS_unweighted,9,2.5e-05,5.068989
run_std_set,10,twitter-unique-undir,BFS,0,0.010629,0.534798
run_std_set,10,twitter-unique-undir,BFS,1,0.004468,0.195284
run_std_set,10,twitter-unique-undir,BFS,2,3.7e-05,0.191143
run_std_set,10,twitter-unique-undir,BFS,3,4e-05,0.192291
run_std_set,10,twitter-unique-undir,BFS,4,0.002582,0.194697
run_std_set,10,twitter-unique-undir,BFS,5,3.8e-05,0.191692
run_std_set,10,twitter-unique-undir,BFS,6,3.7e-05,0.188887
run_std_set,10,twitter-unique-undir,BFS,7,4.1e-05,0.19055
run_std_set,10,twitter-unique-undir,BFS,8,4.2e-05,0.190456
run_std_set,10,twitter-unique-undir,BFS,9,3.4e-05,0.192202
run_std_set,10,twitter-unique-undir,LabelPropagation,0,2.2e-05,2.470003
run_std_set,10,twitter-unique-undir,LabelPropagation,1,3.7e-05,2.397095
run_std_set,10,twitter-unique-undir,LabelPropagation,2,3.8e-05,2.471013
run_std_set,10,twitter-unique-undir,LabelPropagation,3,3.4e-05,2.422723
run_std_set,10,twitter-unique-undir,LabelPropagation,4,3.4e-05,2.524492
