baseline,batch_size,graph,algorithm,measurement_idx,insert_time,algorithm_time
run_pcsr,10,soc-LiveJournal1,BFS,3,1.5e-05,0.006888
run_pcsr,10,soc-LiveJournal1,BFS,4,1.4e-05,0.006789
run_pcsr,10,soc-LiveJournal1,BFS,5,1.4e-05,0.008393
run_pcsr,10,soc-LiveJournal1,BFS,6,1.4e-05,0.007011
run_pcsr,10,soc-LiveJournal1,BFS,7,1.4e-05,0.006856
run_pcsr,10,soc-LiveJournal1,BFS,8,1.5e-05,0.006832
run_pcsr,10,soc-LiveJournal1,BFS,9,1.5e-05,0.006822
run_pcsr,10,soc-LiveJournal1,LabelPropagation,0,8e-06,0.029745
run_pcsr,10,soc-LiveJournal1,LabelPropagation,1,1.6e-05,0.028581
run_pcsr,10,soc-LiveJournal1,LabelPropagation,2,1.7e-05,0.028458
run_pcsr,10,soc-LiveJournal1,LabelPropagation,3,1.7e-05,0.028368
run_pcsr,10,soc-LiveJournal1,LabelPropagation,4,1.6e-05,0.028142
run_pcsr,10,soc-LiveJournal1,LabelPropagation,5,1.7e-05,0.028572
run_pcsr,10,soc-LiveJournal1,LabelPropagation,6,1.6e-05,0.028511
run_pcsr,10,soc-LiveJournal1,LabelPropagation,7,1.6e-05,0.028537
run_pcsr,10,soc-LiveJournal1,LabelPropagation,8,1.6e-05,0.028229
run_pcsr,10,soc-LiveJournal1,LabelPropagation,9,1.6e-05,0.02835
run_pcsr,10,soc-LiveJournal1,PageRank,0,7e-06,0.207418
run_pcsr,10,soc-LiveJournal1,PageRank,1,1.6e-05,0.207819
run_pcsr,10,soc-LiveJournal1,PageRank,2,1.6e-05,0.211326
run_pcsr,10,soc-LiveJournal1,PageRank,3,1.6e-05,0.208796
run_pcsr,10,soc-LiveJournal1,PageRank,4,1.5e-05,0.216872
run_pcsr,10,soc-LiveJournal1,PageRank,5,1.6e-05,0.220075
run_pcsr,10,soc-LiveJournal1,PageRank,6,1.7e-05,0.215904
run_pcsr,10,soc-LiveJournal1,PageRank,7,1.7e-05,0.214428
run_pcsr,10,soc-LiveJournal1,PageRank,8,1.6e-05,0.217854
run_pcsr,10,soc-LiveJournal1,PageRank,9,1.7e-05,0.222219
run_pcsr,10,soc-LiveJournal1,wBFS_unweighted,0,1.1e-05,5.666234
run_pcsr,10,soc-LiveJournal1,wBFS_unweighted,1,1.6e-05,5.642211
run_pcsr,10,soc-LiveJournal1,wBFS_unweighted,2,1.6e-05,5.649232
run_pcsr,10,soc-LiveJournal1,wBFS_unweighted,3,1.6e-05,5.650253
run_pcsr,10,soc-LiveJournal1,wBFS_unweighted,4,1.7e-05,5.649015
run_pcsr,10,soc-LiveJournal1,wBFS_unweighted,5,1.7e-05,5.637066
run_pcsr,10,soc-LiveJournal1,wBFS_unweighted,6,1.5e-05,5.643821
run_pcsr,10,soc-LiveJournal1,wBFS_unweighted,7,1.6e-05,5.663808
run_pcsr,10,soc-LiveJournal1,wBFS_unweighted,8,1.6e-05,5.65359
run_pcsr,10,soc-LiveJournal1,wBFS_unweighted,9,1.5e-05,5.658451
run_pcsr,10,twitter-unique-undir,BFS,0,1e-05,0.037242
run_pcsr,10,twitter-unique-undir,BFS,1,2.2e-05,0.037167
run_pcsr,10,twitter-unique-undir,BFS,2,2e-05,0.038319
run_pcsr,10,twitter-unique-undir,BFS,3,2.2e-05,0.036604
run_pcsr,10,twitter-unique-undir,BFS,4,1.9e-05,0.037903
run_pcsr,10,twitter-unique-undir,BFS,5,2.3e-05,0.036743
run_pcsr,10,twitter-unique-undir,BFS,6,1.9e-05,0.035943
run_pcsr,10,twitter-unique-undir,BFS,7,2.1e-05,0.038481
run_pcsr,10,twitter-unique-undir,BFS,8,2.3e-05,0.036347
run_pcsr,10,twitter-unique-undir,BFS,9,2.6e-05,0.038158
run_pcsr,10,twitter-unique-undir,LabelPropagation,0,1.4e-05,0.886268
run_pcsr,10,twitter-unique-undir,LabelPropagation,1,2.2e-05,0.870653
run_pcsr,10,twitter-unique-undir,LabelPropagation,2,2.1e-05,0.895359
run_pcsr,10,twitter-unique-undir,LabelPropagation,3,2.1e-05,0.895277
run_pcsr,10,twitter-unique-undir,LabelPropagation,4,2e-05,0.879634
run_pcsr,10,twitter-unique-undir,LabelPropagation,5,2.2e-05,0.888487
run_pcsr,10,twitter-unique-undir,LabelPropagation,6,2.1e-05,0.881725
run_pcsr,10,twitter-unique-undir,LabelPropagation,7,2.1e-05,0.892307
run_pcsr,10,twitter-unique-undir,LabelPropagation,8,2e-05,0.889353
run_pcsr,10,twitter-unique-undir,LabelPropagation,9,2.1e-05,0.880023
run_pcsr,10,twitter-unique-undir,PageRank,0,1.2e-05,9.082519
run_pcsr,10,twitter-unique-undir,PageRank,1,2e-05,8.766933
run_pcsr,10,twitter-unique-undir,PageRank,2,2.5e-05,8.843619
