baseline,graph,batch_size,measurement_idx,insert_time_PageRank,algorithm_time_PageRank,insert_time_LabelPropagation,algorithm_time_LabelPropagation,insert_time_wBFS_unweighted,algorithm_time_wBFS_unweighted,insert_time_BFS,algorithm_time_BFS
run_absl_btree_set,twitter-unique-undir,10,6,5.8e-05,7.70881,7.2e-05,1.129997,4.6e-05,33.857514,0.000151,0.104564
run_absl_btree_set,twitter-unique-undir,10,7,0.000143,9.480747,9.1e-05,1.119951,6.2e-05,33.005936,0.000151,0.105213
run_absl_btree_set,twitter-unique-undir,10,8,6.3e-05,9.746593,0.00012,1.119612,6.2e-05,33.143176,0.000271,0.105257
run_absl_btree_set,twitter-unique-undir,10,9,5.1e-05,9.853313,6.8e-05,1.113204,5.1e-05,32.824477,9.7e-05,0.103172
run_absl_btree_set,com-friendster,10,0,2.5e-05,23.010387,5e-05,5.550553,2.7e-05,47.9812,3.8e-05,3.174095
run_absl_btree_set,com-friendster,10,1,3.9e-05,24.218139,6.4e-05,4.764939,3.8e-05,45.976028,3e-05,2.605992
run_absl_btree_set,com-friendster,10,2,4.1e-05,22.276476,6.9e-05,4.727803,4.2e-05,45.909149,2.9e-05,2.620893
run_absl_btree_set,com-friendster,10,3,4.7e-05,21.388957,4.2e-05,4.798719,3.7e-05,44.879396,3.5e-05,2.601818
run_absl_btree_set,com-friendster,10,4,4.5e-05,20.23344,5.3e-05,4.700192,4.4e-05,44.500389,3.1e-05,2.592854
run_absl_btree_set,com-friendster,10,5,3.9e-05,20.127377,5.3e-05,4.819914,3.2e-05,44.534755,2.8e-05,2.583278
run_absl_btree_set,com-friendster,10,6,6.7e-05,21.526273,4.4e-05,4.555015,3.2e-05,44.52528,2.8e-05,2.558149
run_absl_btree_set,com-friendster,10,7,3.8e-05,21.027939,3.9e-05,4.722668,3.3e-05,44.082997,3e-05,2.554112
run_absl_btree_set,com-friendster,10,8,4.4e-05,18.703454,6.8e-05,4.61113,3.5e-05,44.462946,2.7e-05,2.552909
run_absl_btree_set,com-friendster,10,9,4.2e-05,19.211295,8.8e-05,4.696557,3.3e-05,44.177064,3e-05,2.54855
run_absl_btree_set,com-orkut.ungraph,100,0,3.4e-05,0.322536,3e-05,0.050448,3.2e-05,3.868984,5e-05,0.038563
run_absl_btree_set,com-orkut.ungraph,100,1,4e-05,0.304834,4.5e-05,0.039379,4.1e-05,3.74054,3.5e-05,0.007299
run_absl_btree_set,com-orkut.ungraph,100,2,4.1e-05,0.303342,3.8e-05,0.039445,4e-05,3.658814,5.6e-05,0.006894
run_absl_btree_set,com-orkut.ungraph,100,3,3.6e-05,0.3127,3.8e-05,0.039862,4e-05,3.697491,4.1e-05,0.006645
