baseline,batch_size,graph,algorithm,measurement_idx,value1,value2
run_vector_cpam,10,cit-Patents,wBFS_unweighted,0,2.5e-05,4.683973
run_vector_cpam,10,cit-Patents,wBFS_unweighted,1,6.3e-05,4.637086
run_vector_cpam,10,cit-Patents,wBFS_unweighted,2,3.6e-05,4.63682
run_vector_cpam,10,cit-Patents,wBFS_unweighted,3,5.5e-05,4.646736
run_vector_cpam,10,cit-Patents,wBFS_unweighted,4,6.3e-05,4.658135
run_vector_cpam,10,cit-Patents,wBFS_unweighted,5,4e-05,4.639829
run_vector_cpam,10,cit-Patents,wBFS_unweighted,6,5.3e-05,4.639597
run_vector_cpam,10,cit-Patents,wBFS_unweighted,7,6.6e-05,4.628744
run_vector_cpam,10,cit-Patents,wBFS_unweighted,8,5.4e-05,4.634659
run_vector_cpam,10,cit-Patents,wBFS_unweighted,9,3.7e-05,4.659004
run_vector_cpam,10,com-friendster,BFS,0,4.6e-05,2.054343
run_vector_cpam,10,com-friendster,BFS,1,4.3e-05,1.396158
run_vector_cpam,10,com-friendster,BFS,2,4.5e-05,1.386208
run_vector_cpam,10,com-friendster,BFS,3,4.6e-05,1.377024
run_vector_cpam,10,com-friendster,BFS,4,9.3e-05,1.342953
run_vector_cpam,10,com-friendster,BFS,5,4.5e-05,1.35263
run_vector_cpam,10,com-friendster,BFS,6,4.5e-05,1.398816
run_vector_cpam,10,com-friendster,BFS,7,4.5e-05,1.421519
run_vector_cpam,10,com-friendster,BFS,8,4.2e-05,1.429014
run_vector_cpam,10,com-friendster,BFS,9,4.8e-05,1.435548
run_vector_cpam,10,com-friendster,LabelPropagation,0,2.9e-05,6.464863
run_vector_cpam,10,com-friendster,LabelPropagation,1,4.9e-05,8.16724
run_vector_cpam,10,com-friendster,LabelPropagation,2,4.9e-05,9.628305
run_vector_cpam,10,com-friendster,LabelPropagation,3,4e-05,9.504688
run_vector_cpam,10,com-friendster,LabelPropagation,4,4e-05,8.72759
run_vector_cpam,10,com-friendster,LabelPropagation,5,4.2e-05,8.63926
run_vector_cpam,10,com-friendster,LabelPropagation,6,4.8e-05,8.845462
run_vector_cpam,10,com-friendster,LabelPropagation,7,4.9e-05,9.855329
run_vector_cpam,10,com-friendster,LabelPropagation,8,3.9e-05,9.927994
run_vector_cpam,10,com-friendster,LabelPropagation,9,4.1e-05,10.99364
run_vector_cpam,10,com-friendster,PageRank,0,3e-05,27.44379
run_vector_cpam,10,com-friendster,PageRank,1,5.8e-05,28.959724
run_vector_cpam,10,com-friendster,PageRank,2,0.00031,32.346059
run_vector_cpam,10,com-friendster,PageRank,3,5.3e-05,33.418884
run_vector_cpam,10,com-friendster,PageRank,4,8.3e-05,33.574501
run_vector_cpam,10,com-friendster,PageRank,5,5.1e-05,23.801891
run_vector_cpam,10,com-friendster,PageRank,6,6e-05,29.453288
run_vector_cpam,10,com-friendster,PageRank,7,5.7e-05,34.238501
run_vector_cpam,10,com-friendster,PageRank,8,4.6e-05,38.078206
run_vector_cpam,10,com-friendster,PageRank,9,5.6e-05,36.521493
run_vector_cpam,10,com-friendster,wBFS_unweighted,0,3.2e-05,62.091498
run_vector_cpam,10,com-friendster,wBFS_unweighted,1,4e-05,80.569296
run_vector_cpam,10,com-friendster,wBFS_unweighted,2,4.6e-05,75.285882
run_vector_cpam,10,com-friendster,wBFS_unweighted,3,8.7e-05,70.273513
run_vector_cpam,10,com-friendster,wBFS_unweighted,4,3.8e-05,76.926167
run_vector_cpam,10,com-friendster,wBFS_unweighted,5,4.1e-05,86.611301
run_vector_cpam,10,com-friendster,wBFS_unweighted,6,4.5e-05,79.768358
run_vector_cpam,10,com-friendster,wBFS_unweighted,7,4.3e-05,79.585022
run_vector_cpam,10,com-friendster,wBFS_unweighted,8,3.8e-05,95.530707
run_vector_cpam,10,com-friendster,wBFS_unweighted,9,4.5e-05,86.89492
run_vector_cpam,10,com-orkut.ungraph,BFS,0,2.4e-05,0.008934
run_vector_cpam,10,com-orkut.ungraph,BFS,1,2.5e-05,0.004303
run_vector_cpam,10,com-orkut.ungraph,BFS,2,2.5e-05,0.004299
run_vector_cpam,10,com-orkut.ungraph,BFS,3,2e-05,0.004164
run_vector_cpam,10,com-orkut.ungraph,BFS,4,2e-05,0.004163
run_vector_cpam,10,com-orkut.ungraph,BFS,5,3e-05,0.00411
run_vector_cpam,10,com-orkut.ungraph,BFS,6,3.7e-05,0.00415
run_vector_cpam,10,com-orkut.ungraph,BFS,7,4.4e-05,0.004163
run_vector_cpam,10,com-orkut.ungraph,BFS,8,2.5e-05,0.004152
run_vector_cpam,10,com-orkut.ungraph,BFS,9,2.8e-05,0.004185
run_vector_cpam,10,com-orkut.ungraph,LabelPropagation,0,2e-05,0.038832
